time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-23T22:46:02.090Z,19.59,-65.2768,55,3.88,md,17,251,1.276,0.18,pr,pr2024328002,2024-11-24T06:09:10.040Z,"141 km NNE of Vieques, Puerto Rico",earthquake,1.91,7.57,0.08,7,reviewed,pr,pr
2024-11-23T22:41:01.810Z,19.6138,-65.2295,56,3.73,md,6,298,1.2885,0.09,pr,pr2024328001,2024-11-24T01:09:39.890Z,"144 km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.26,7.83,0.11,3,reviewed,pr,pr
2024-11-23T22:30:48.150Z,19.6045,-65.394,33,3.99,md,17,249,1.3017,0.13,pr,pr2024328000,2024-11-24T06:12:07.040Z,"138 km NNE of Vieques, Puerto Rico",earthquake,1.16,11.05,0.05,4,reviewed,pr,pr
2024-11-23T21:47:51.341Z,5.7182,124.3434,431.449,4.4,mb,57,66,1.819,0.49,us,us6000p7bd,2024-11-23T22:04:53.040Z,"39 km SSW of Maitum, Philippines",earthquake,11.89,8.056,0.074,53,reviewed,us,us
2024-11-23T21:43:02.613Z,-4.3326,128.6214,184.687,4.4,mb,30,47,1.293,0.48,us,us6000p7bc,2024-11-23T22:18:25.040Z,"85 km SE of Ambon, Indonesia",earthquake,6.32,7.495,0.127,18,reviewed,us,us
2024-11-23T20:41:49.000Z,17.960166666667,-66.939666666667,41.97,2.54,md,6,201,0.05937,0.09,pr,pr71466458,2024-11-23T21:30:20.790Z,"3 km WSW of Guánica, Puerto Rico",earthquake,0.98,1.03,0.099316283332056,4,reviewed,pr,pr
2024-11-23T20:22:55.600Z,39.599166870117,-123.83200073242,-0.76999998092651,2.78,md,41,171,0.2116,0.23,nc,nc75089526,2024-11-24T02:57:37.383Z,"14 km SSW of Cape Vizcaino, CA",earthquake,0.6,2.67000008,0.12,33,automatic,nc,nc
2024-11-23T19:35:39.809Z,-17.9627,-178.394,564.011,4.3,mb,45,74,2.597,0.8,us,us6000p7b0,2024-11-24T02:58:04.040Z,"242 km E of Levuka, Fiji",earthquake,13.38,10.012,0.088,40,reviewed,us,us
2024-11-23T19:27:13.528Z,-19.8053,-177.845,568.262,4.2,mb,33,145,4.238,0.74,us,us6000p7au,2024-11-23T19:52:36.040Z,"Fiji region",earthquake,10.93,8.404,0.105,25,reviewed,us,us
2024-11-23T19:24:29.734Z,5.4709,126.9803,89.931,4.6,mb,62,109,2.112,1.03,us,us6000p7at,2024-11-24T02:46:59.040Z,"132 km SE of Pondaguitan, Philippines",earthquake,9.19,7.689,0.069,64,reviewed,us,us
2024-11-23T19:04:30.386Z,-17.8999,-178.4392,592.038,5.9,mww,43,97,2.527,0.92,us,us6000p7aq,2024-11-23T21:07:02.469Z,"238 km E of Levuka, Fiji",earthquake,12.43,9.613,0.056,31,reviewed,us,us
2024-11-23T18:46:40.230Z,18.153833333333,-67.275,48.19,2.95,md,13,254,0.1408,0.1,pr,pr71466438,2024-11-23T19:10:04.080Z,"12 km NW of Puerto Real, Puerto Rico",earthquake,0.68,0.48,0.071715909096427,13,reviewed,pr,pr
2024-11-23T18:33:03.410Z,32.5214996,-115.2728348,18.28,2.99,ml,41,52,0.1053,0.34,ci,ci40798887,2024-11-23T21:43:06.040Z,"9 km ESE of Puebla, B.C., MX",earthquake,0.49,1.25,0.276,20,automatic,ci,ci
2024-11-23T17:39:54.069Z,54.3336,-161.0841,40.603,4.4,mb,77,138,1.455,0.66,us,us6000p7ae,2024-11-24T00:45:42.331Z,"113 km SE of King Cove, Alaska",earthquake,7.48,7.691,0.071,67,reviewed,us,us
2024-11-23T17:35:05.193Z,25.0743,92.7607,48.73,4.3,mb,45,111,4.332,0.94,us,us6000p7ad,2024-11-23T20:16:39.040Z,"27 km N of Silchar, India",earthquake,11.62,7.28,0.091,34,reviewed,us,us
2024-11-23T16:13:45.540Z,41.538166046143,-111.76699829102,-2.4300000667572,2.92,ml,36,27,0.1636,0.379999995,uu,uu80087026,2024-11-23T21:52:31.440Z,"3 km E of Avon, Utah",earthquake,0.48,6.75,0.32,28,reviewed,uu,uu
2024-11-23T16:01:50.890Z,18.5375,-66.608666666667,94.21,3.17,md,16,198,0.0962,0.26,pr,pr71466428,2024-11-23T16:28:00.910Z,"10 km NNW of Garrochales, Puerto Rico",earthquake,1.24,0.86,0.086018446078313,15,reviewed,pr,pr
2024-11-23T15:29:49.400Z,43.5261,-127.5598,14.618,3.5,ml,79,243,1.839,0.79,us,us6000p79t,2024-11-23T17:37:00.336Z,"259 km W of Bandon, Oregon",earthquake,9.32,9.105,0.034,114,reviewed,us,us
2024-11-23T14:43:18.148Z,-4.1388,143.022,78.567,4.9,mb,28,54,4.811,0.5,us,us6000p79h,2024-11-23T15:00:09.040Z,"24 km ENE of Ambunti, Papua New Guinea",earthquake,6.06,9.978,0.058,93,reviewed,us,us
2024-11-23T14:13:25.110Z,-28.5718,-176.6536,10,4.7,mb,24,76,1.304,1.16,us,us6000p79b,2024-11-23T14:38:41.040Z,"Kermadec Islands region",earthquake,9.96,1.909,0.123,24,reviewed,us,us
2024-11-23T12:42:00.488Z,41.1612,-114.764,10.106,2.8,ml,21,91,0.55,1.04,us,us6000p78z,2024-11-23T12:59:10.040Z,"17 km ENE of Wells, Nevada",earthquake,4.44,8.532,0.046,62,reviewed,us,us
2024-11-23T12:15:15.062Z,36.4837,70.2325,214.605,4,mb,18,88,1.878,0.73,us,us6000p78t,2024-11-24T06:32:52.040Z,"34 km ESE of Farkhār, Afghanistan",earthquake,9.16,9.391,0.173,9,reviewed,us,us
2024-11-23T12:07:57.775Z,-2.9518,145.8612,10,4.8,mb,17,109,1.754,0.56,us,us6000p78s,2024-11-23T12:27:44.040Z,"186 km WSW of Lorengau, Papua New Guinea",earthquake,6,1.894,0.143,15,reviewed,us,us
2024-11-23T11:31:39.371Z,-0.084,130.0911,10,4.5,mb,31,68,2.854,0.78,us,us6000p78n,2024-11-23T11:52:39.040Z,"49 km WNW of Waisai, Indonesia",earthquake,8.88,1.881,0.109,25,reviewed,us,us
